"","year","imdb","title","test","budget","domgross","intgross","budget_2013.","domgross_2013.","intgross_2013.","totalgross2013"
"25",2013,"tt1288558","Evil Dead","PASS",17000000,"54239856","97402049",17000000,54239856,97402049,151641905
"26",2013,"tt1905041","Fast and Furious 6","PASS",160000000,"238679850","788128122",160000000,238679850,788128122,1026807972
"27",2013,"tt2294629","Frozen","PASS",150000000,"393050114","1004550114",150000000,393050114,1004550114,1397600228
"28",2013,"tt1583421","G.I. Joe: Retaliation","PASS",140000000,"122523060","371923060",140000000,122523060,371923060,494446120
"29",2013,"tt1321870","Gangster Squad","FAIL",60000000,"46000903","104100903",60000000,46000903,104100903,150101806
"30",2013,"tt2425486","Gloria","PASS",30000000,"4167493","4967493",30000000,4167493,4967493,9134986
"31",2013,"tt1454468","Gravity","FAIL",110000000,"271814796","708714796",110000000,271814796,708714796,980529592
"32",2013,"tt2191701","Grown Ups 2","FAIL",80000000,"133668525","247023808",80000000,133668525,247023808,380692333
"33",2013,"tt1428538","Hansel &amp; Gretel: Witch Hunters","PASS",50000000,"55703475","225703475",50000000,55703475,225703475,281406950
"34",2013,"tt1798709","Her","FAIL",23000000,"25000178","33029713",23000000,25000178,33029713,58029891
"35",2013,"tt2024432","Identity Thief","FAIL",35000000,"134506920","176269721",35000000,134506920,176269721,310776641
"36",2013,"tt2226417","Insidious: Chapter 2","FAIL",5000000,"83586447","161911222",5000000,83586447,161911222,245497669
"37",2013,"tt1300854","Iron Man 3","FAIL",200000000,"408992272","1212692272",200000000,408992272,1212692272,1621684544
"38",2013,"tt1351685","Jack the Giant Slayer","FAIL",195000000,"65187603","197387603",195000000,65187603,197387603,262575206
"39",2013,"tt1650554","Kick-Ass 2","PASS",28000000,"28795985","60839197",28000000,28795985,60839197,89635182
"40",2013,"tt1204975","Last Vegas","FAIL",28000000,"63914167","112914167",28000000,63914167,112914167,176828334
"41",2013,"tt1327773","Lee Daniels&#39; The Butler","PASS",30000000,"116632095","151513429",30000000,116632095,151513429,268145524
"42",2013,"tt2002718","Machete Kills","PASS",2000000,"8008161","9408161",2000000,8008161,9408161,17416322
"43",2013,"tt2023587","Mama","PASS",15000000,"71628180","148041253",15000000,71628180,148041253,219669433
"44",2013,"tt0770828","Man of Steel","PASS",225000000,"291045518","687999518",225000000,291045518,687999518,979045036
"45",2013,"tt1821549","Nebraska","PASS",12000000,"17482517","17482517",12000000,17482517,17482517,34965034
"46",2013,"tt1670345","Now You See Me","FAIL",75000000,"117723989","351723989",75000000,117723989,351723989,469447978
"47",2013,"tt1483013","Oblivion","FAIL",120000000,"89107235","287537983",120000000,89107235,287537983,376645218
"48",2013,"tt2302755","Olympus Has Fallen","FAIL",70000000,"98927592","150562164",70000000,98927592,150562164,249489756
"49",2013,"tt1623205","Oz the Great and Powerful","PASS",200000000,"234770996","489570996",200000000,234770996,489570996,724341992
"50",2013,"tt1663662","Pacific Rim","FAIL",190000000,"101802906","411002906",190000000,101802906,411002906,512805812
"51",2013,"tt1980209","Pain &amp; Gain","FAIL",26000000,"49875291","81275291",26000000,49875291,81275291,131150582
"52",2013,"tt1904996","Parker","PASS",35000000,"17616641","46346651",35000000,17616641,46346651,63963292
"53",2013,"tt1699755","Peeples","FAIL",15000000,"9177065","9177065",15000000,9177065,9177065,18354130
"54",2013,"tt1854564","Percy Jackson: Sea of Monsters","PASS",90000000,"68559554","200859554",90000000,68559554,200859554,269419108
"55",2013,"tt1392214","Prisoners","PASS",46000000,"61002302","113402302",46000000,61002302,113402302,174404604
"56",2013,"tt0790736","R.I.P.D.","FAIL",130000000,"33618855","79019947",130000000,33618855,79019947,112638802
"57",2013,"tt1821694","Red 2","PASS",84000000,"53262560","137162560",84000000,53262560,137162560,190425120
"58",2013,"tt1411250","Riddick","FAIL",38000000,"42025135","92425135",38000000,42025135,92425135,134450270
"59",2013,"tt2364841","Runner Runner","FAIL",30000000,"19316646","62616646",30000000,19316646,62616646,81933292
"60",2013,"tt1979320","Rush","FAIL",38000000,"26947624","43047624",38000000,26947624,43047624,69995248
"61",2013,"tt1702439","Safe Haven","PASS",28000000,"71399120","93943623",28000000,71399120,93943623,165342743
"62",2013,"tt2140373","Saving Mr. Banks","PASS",35000000,"82834332","100734332",35000000,82834332,100734332,183568664
"63",2013,"tt2053463","Side Effects","PASS",30000000,"32172757","60288363",30000000,32172757,60288363,92461120
"64",2013,"tt1408101","Star Trek Into Darkness","FAIL",190000000,"228778661","466978661",190000000,228778661,466978661,695757322
"65",2013,"tt1572315","Texas Chainsaw 3D","PASS",20000000,"34341945","39093317",20000000,34341945,39093317,73435262
"66",2013,"tt1931435","The Big Wedding","PASS",32500000,"21819348","35770721",32500000,21819348,35770721,57590069
"67",2013,"tt0816442","The Book Thief","PASS",19000000,"21345525","62045525",19000000,21345525,62045525,83391050
"68",2013,"tt1911644","The Call","PASS",13000000,"51872378","58938768",13000000,51872378,58938768,110811146
"69",2013,"tt1457767","The Conjuring","PASS",20000000,"137400141","318000141",20000000,137400141,318000141,455400282
"70",2013,"tt2193215","The Counselor","PASS",25000000,"16973715","70373715",25000000,16973715,70373715,87347430
"71",2013,"tt0481499","The Croods","FAIL",135000000,"187168425","573068425",135000000,187168425,573068425,760236850
"72",2013,"tt2404311","The Family","FAIL",30000000,"36918811","51078541",30000000,36918811,51078541,87997352
"73",2013,"tt1837703","The Fifth Estate","FAIL",26000000,"3254172","6154172",26000000,3254172,6154172,9408344
"75",2013,"tt1343092","The Great Gatsby","FAIL",190000000,"144840419","351040419",190000000,144840419,351040419,495880838
"76",2013,"tt1951261","The Hangover part 3","FAIL",103000000,"112200072","362000072",103000000,112200072,362000072,474200144
"77",2013,"tt2404463","The Heat","PASS",43000000,"159581587","230781587",43000000,159581587,230781587,390363174
"78",2013,"tt1170358","The Hobbit: The Desolation of Smaug","FAIL",250000000,"257397516","937397516",250000000,257397516,937397516,1194795032
"79",2013,"tt1517260","The Host","FAIL",50000000,"26623701","58188384",50000000,26623701,58188384,84812085
"80",2013,"tt1951264","The Hunger Games: Catching Fire","PASS",130000000,"424088260","857088260",130000000,424088260,857088260,1281176520
"81",2013,"tt0790628","The Incredible Burt Wonderstone","FAIL",32000000,"22537881","24255957",32000000,22537881,24255957,46793838
"82",2013,"tt2234155","The Internship","FAIL",58000000,"44672764","93672764",58000000,44672764,93672764,138345528
"83",2013,"tt2034139","The Last Exorcism Part II","PASS",4000000,"15179303","18541236",4000000,15179303,18541236,33720539
"84",2013,"tt1210819","The Lone Ranger","FAIL",275000000,"89289910","259989910",275000000,89289910,259989910,349279820
"85",2013,"tt1538403","The Mortal Instruments: City of Bones","PASS",60000000,"31165421","75965567",60000000,31165421,75965567,107130988
"86",2013,"tt2184339","The Purge","FAIL",3000000,"64473115","91100541",3000000,64473115,91100541,155573656
"87",2013,"tt2017020","The Smurfs 2","PASS",110000000,"71017784","348545841",110000000,71017784,348545841,419563625
"88",2013,"tt1758795","The To Do List","PASS",1500000,"3491669","3491669",1500000,3491669,3491669,6983338
"89",2013,"tt1727388","The Way Way Back","PASS",5000000,"21502690","26161443",5000000,21502690,26161443,47664133
"90",2013,"tt0993846","The Wolf of Wall Street","FAIL",100000000,"115702857","365702857",100000000,115702857,365702857,481405714
"91",2013,"tt1430132","The Wolverine","PASS",115000000,"132556852","416456852",115000000,132556852,416456852,549013704
"92",2013,"tt1213663","The World&#39;s End","FAIL",20000000,"26004851","46578821",20000000,26004851,46578821,72583672
"93",2013,"tt1245492","This Is the End","FAIL",32000000,"101470202","126294264",32000000,101470202,126294264,227764466
"94",2013,"tt1981115","Thor: The Dark World","FAIL",170000000,"204674790","631674790",170000000,204674790,631674790,836349580
"95",2013,"tt1924429","Trance","FAIL",16000000,"2322593","22594052",16000000,2322593,22594052,24916645
"96",2013,"tt1860353","Turbo","FAIL",135000000,"83028130","283828130",135000000,83028130,283828130,366856260
"97",2013,"tt1588173","Warm Bodies","FAIL",30000000,"66380662","116643610",30000000,66380662,116643610,183024272
"98",2013,"tt1723121","We&#39;re the Millers","PASS",37000000,"150394119","270000119",37000000,150394119,270000119,420394238
"99",2013,"tt2334879","White House Down","FAIL",150000000,"73103784","205440387",150000000,73103784,205440387,278544171
"100",2013,"tt0816711","World War Z","FAIL",190000000,"202359711","539559711",190000000,202359711,539559711,741919422
"101",2012,"tt1611224","Abraham Lincoln: Vampire Hunter","FAIL",67500000,"37519139","115119139",68488103,38068365,116804318,154872683
"102",2012,"tt1591479","Act of Valor","FAIL",12000000,"70012847","82497035",12175663,71037735,83704673,154742408
"103",2012,"tt1602620","Amour","FAIL",9700000,"6738954","25915719",9841994,6837603,26295088,33132691
"104",2012,"tt1781769","Anna Karenina","FAIL",49000000,"12816367","70735540",49717290,13003980,71771007,84774987
"105",2012,"tt1024648","Argo","PASS",44500000,"136025503","221300694",45151416,138016721,224540219,362556940
"106",2012,"tt1440129","Battleship","FAIL",209000000,"65235400","304142720",212059460,66190353,308594933,374785286
"107",2012,"tt2125435","Beasts of the Southern Wild","FAIL",1800000,"12795746","21080058",1826349,12983057,21388640,34371697
"108",2012,"tt1758575","Blue Like Jazz","PASS",1200000,"595018","595018",1217566,603728,603728,1207456
"109",2012,"tt1217209","Brave","PASS",185000000,"237282182","554606532",187708135,240755653,562725176,803480829
"110",2012,"tt1308729","Bullet to the Head","FAIL",55000000,"9489829","13561515",55805121,9628746,13760036,23388782
"111",2012,"tt1991245","Chernobyl Diaries","FAIL",1000000,"18119640","38390020",1014639,18384886,38951995,57336881
"112",2012,"tt1706593","Chronicle","FAIL",12000000,"64575175","127075175",12175663,65520463,128935373,194455836
"113",2012,"tt1371111","Cloud Atlas","PASS",102000000,"27108272","126018564",103493134,27505098,127863295,155368393
"114",2012,"tt1524137","Contraband","PASS",25000000,"66528000","98406855",25365964,67501874,99847390,167349264
"115",2012,"tt1853728","Django Unchained","FAIL",100000000,"162805434","425373688",101463857,165188672,431600549,596789221
"116",2012,"tt1907668","Flight","FAIL",31000000,"93772375","161772375",31453796,95145068,164140491,259285559
"117",2012,"tt1142977","Frankenweenie","FAIL",39000000,"35287788","81150788",39570904,35804351,82338719,118143070
"118",2012,"tt2243973","Hannibal","PASS",87000000,"165092266","350100280",88273555,167508980,355225246,522734226
"119",2012,"tt0837562","Hotel Transylvania","PASS",85000000,"148313048","359222014",86244278,150484138,364480509,514964647
"120",2012,"tt0790724","Jack Reacher","FAIL",60000000,"80070736","217370736",60878314,81242857,220552732,301795589
"121",2012,"tt2106476","Jagten","FAIL",3450000,"687185","687185",3500503,697244,697244,1394488
"122",2012,"tt0401729","John Carter","PASS",275000000,"73058679","282778100",279025606,74128153,286917566,361045719
"123",2012,"tt1764234","Killing Them Softly","FAIL",15000000,"14945541","37238774",15219578,15164322,37783896,52948218
"124",2012,"tt1707386","Les Miserables","PASS",65000000,"148809770","442022894",65951507,150988132,448493475,599481607
"125",2012,"tt0454876","Life of Pi","FAIL",120000000,"124987022","607987022",121756628,126816653,616887080,743703733
"126",2012,"tt0443272","Lincoln","PASS",65000000,"182207973","273000960",65951507,184875236,276997302,461872538
"127",2012,"tt1277953","Madagascar 3: Europe&#39;s Most Wanted","FAIL",145000000,"216391482","746921271",147122592,219559143,757855127,977414270
"128",2012,"tt1409024","Men in Black III","FAIL",215000000,"179020854","624821154",218147292,181641463,633967639,815609102
"129",2012,"tt1667353","Mirror Mirror","FAIL",85000000,"64935167","168611991",86244278,65885725,171080229,236965954
"130",2012,"tt1748122","Moonrise Kingdom","PASS",16000000,"45512466","64012466",16234217,46178703,64949517,111128220
"131",2012,"tt2094064","Much Ado About Nothing","FAIL",8000000,"22549338","22549338",8117109,22879428,22879428,45758856
"132",2012,"tt1598828","One for the Money","PASS",42000000,"26414527","36197221",42614820,26801198,36727096,63528294
"133",2012,"tt2109184","Paranormal Activity 4","PASS",5000000,"53900335","142793842",5073193,54689359,144884139,199573498
"134",2012,"tt1623288","ParaNorman","FAIL",60000000,"56003051","108159011",60878314,56822855,109742304,166565159
"135",2012,"tt1047540","Parental Guidance","PASS",25000000,"77267296","120168633",25365964,78398378,121927729,200326107
"136",2012,"tt1716777","People Like Us","PASS",16000000,"12431792","12431792",16234217,12613776,12613776,25227552
"137",2012,"tt1981677","Pitch Perfect","PASS",17000000,"65001093","115331177",17248856,65952616,117019460,182972076
"138",2012,"tt1547234","Premium Rush","PASS",35000000,"20275446","31393201",35512350,20572249,31852752,52425001
"139",2012,"tt1234719","Red Dawn","FAIL",65000000,"44806783","48164150",65951507,45462690,48869204,94331894
"140",2012,"tt0485985","Red Tails","FAIL",58000000,"49876377","50365498",58849037,50606496,51102777,101709273
"141",2012,"tt1446192","Rise of the Guardians","FAIL",145000000,"103412758","306900902",147122592,104926572,311393491,416320063
